"3,""N Mardhiyah"",""Membangun jaringan wireless lan pada kantor kelurahan Bintaro"",2011,"""",""repository.uinjkt.ac.id"",""http://repository.uinjkt.ac.id/dspace/handle/123456789/1784"",""https://scholar.google.com/scholar?cites=3228732694326918661&as_sdt=2005&sciodt=0,5&hl=en"",26,""2019-05-17"","""","""","""","""",,,,,3,0.38,3,1,8		"
"3,""C Hasan"",""Membangun Jaringan Hotspot Wi-Fi RT/RW Net di Kelurahan Belimbing Kecamatan Murung Pudak Kabupaten Tabalong Kalimantan Selatan"",2011,""Jurusan Teknik Informatika STMIK AMIKOM …"",""academia.edu"",""http://www.academia.edu/download/34534014/rt_rw_net.pdf"",""https://scholar.google.com/scholar?cites=5368742767010315747&as_sdt=2005&sciodt=0,5&hl=en"",27,""2019-05-17"",""PDF"","""","""","""",,,,,3,0.38,3,1,8		"
"3,""CH Manurung, S Sukiswo, AA Zahra"",""Perbandingan Tipe MAC Pada Jaringan VSAT Mesh Dengan NS-2"",2011,"""",""eprints.undip.ac.id"",""http://eprints.undip.ac.id/25420/"",""https://scholar.google.com/scholar?cites=15180621548231626712&as_sdt=2005&sciodt=0,5&hl=en"",28,""2019-05-17"","""","""","""","""",,,,,3,0.38,1,3,8		"
"12,""DA Arifah"",""Kasus cybercrime di indonesia"",2011,""Jurnal Bisnis dan Ekonomi"",""unisbank.ac.id"",""https://www.unisbank.ac.id/ojs/index.php/fe3/article/view/2099/767"",""https://scholar.google.com/scholar?cites=15351465844059373095&as_sdt=2005&sciodt=0,5&hl=en"",29,""2019-05-17"",""PDF"","""","""","""",,,,,12,1.50,12,1,8		"
"81,""D Irmawati"",""Pemanfaatan e-commerce dalam dunia bisnis"",2011,""Jurnal Ilmiah Orasi Bisnis–ISSN"",""academia.edu"",""http://www.academia.edu/download/36013991/PEMANFAATAN_E-COMMERS_DALAM_DUNIA_BISNIS.pdf"",""https://scholar.google.com/scholar?cites=6954763152956898818&as_sdt=2005&sciodt=0,5&hl=en"",30,""2019-05-17"",""PDF"","""","""","""",,,,,81,10.13,81,1,8		"
"3,""U Proboyekti, S Kom"",""Jaringan Komputer"",2011,""Sistem Informasi UKDW"","""","""",""https://scholar.google.com/scholar?cites=2484034891059356394&as_sdt=2005&sciodt=0,5&hl=en"",31,""2019-05-17"",""CITATION"","""","""","""",,,,,3,0.38,2,2,8		"
"3,""TA Cahyanto"",""Analisis deteksi penyusupan pada jaringan komputer menggunakan snort (studi kasus pada Dinas Pariwisata Propinsi Daerah Istimewa Yogyakarta)"",2011,"""",""Yogyakarta"","""",""https://scholar.google.com/scholar?cites=17591550357623102668&as_sdt=2005&sciodt=0,5&hl=en"",32,""2019-05-17"",""CITATION"","""","""","""",,,,,3,0.38,3,1,8		"
"3,""L Virgiawan"",""Teknik Jaringan Komputer"",2011,""Prestasi Pustakarya, Jakarta"","""","""",""https://scholar.google.com/scholar?cites=10413503878136915184&as_sdt=2005&sciodt=0,5&hl=en"",33,""2019-05-17"",""CITATION"","""","""","""",,,,,3,0.38,3,1,8		"
"45,""D Arista, SRT Astuti"",""Analisis pengaruh iklan, kepercayaan merek, dan citra merek terhadap minat beli konsumen"",2011,""Jurnal Aset"",""journal.widyamanggala.ac.id"",""http://journal.widyamanggala.ac.id/index.php/jurnalaset/article/view/71"",""https://scholar.google.com/scholar?cites=16356229481765765683&as_sdt=2005&sciodt=0,5&hl=en"",34,""2019-05-17"","""","""","""","""",,,,,45,5.63,23,2,8		"
"18,""NH Pratama"",""Studi Kelayakan Sarana dan Prasarana Laboratorium Komputer Jurusan Teknik Gambar Bangunan SMK Negeri 2 Yogyakarta"",2011,""Skripsi, tidak dipublikasikan. Universitas Negeri …"",""eprints.uny.ac.id"",""https://eprints.uny.ac.id/1156/1/Studi_Kelayakan_Sarana&Prasarana_Laboratorium_Komputer_Jurus.pdf"",""https://scholar.google.com/scholar?cites=11681553466522595211&as_sdt=2005&sciodt=0,5&hl=en"",35,""2019-05-17"",""PDF"","""","""","""",,,,,18,2.25,18,1,8		"
"5,""H Nanang, A Fuadi, N Farhanah"",""Pengembangan aplikasi remote spesifikasi desktop berbasis client server"",2011,""JURNAL TEKNIK …"",""journal.uinjkt.ac.id"",""http://journal.uinjkt.ac.id/index.php/ti/article/view/2004"",""https://scholar.google.com/scholar?cites=4409006928810201580&as_sdt=2005&sciodt=0,5&hl=en"",36,""2019-05-17"","""","""","""","""",,,,,5,0.63,2,3,8		"
"8,""R Rosnelly, R Pulungan"",""Membandingkan Analisa Traffic antara WireShark dan NMap"",2011,"""",""repository.ugm.ac.id"",""https://repository.ugm.ac.id/id/eprint/35127"",""https://scholar.google.com/scholar?cites=5521716284822099842&as_sdt=2005&sciodt=0,5&hl=en"",37,""2019-05-17"","""","""","""","""",,,,,8,1.00,4,2,8		"
"163,""S Eniyati"",""Perancangan Sistem Pendukung Pengambilan Keputusan untuk Penerimaan Beasiswa dengan Metode SAW (Simple Additive Weighting)"",2011,""Dinamik"",""unisbank.ac.id"",""https://www.unisbank.ac.id/ojs/index.php/fti1/article/view/364"",""https://scholar.google.com/scholar?cites=17336721671647350803&as_sdt=2005&sciodt=0,5&hl=en"",38,""2019-05-17"","""","""","""","""",,,,,163,20.38,163,1,8		"
"5,""E Darmawan, I Purnama…"",""Bandwidth Manajemen Queue Tree vs Simple Queue"",2011,""… -STIKOM Bali 23 …"",""repository.gunadarma.ac.id"",""http://repository.gunadarma.ac.id/109/"",""https://scholar.google.com/scholar?cites=16600184347575905337&as_sdt=2005&sciodt=0,5&hl=en"",39,""2019-05-17"","""","""","""","""",,,,,5,0.63,2,3,8		"
"6,""Y Boon, S Ngatimin"",""Penggunaan makmal komputer dalam kalangan guru-guru Sekolah Kebangsaan Zon Jementah, daerah Segamat dalam pengajaran dan pembelajaran: Satu …"",2011,""Journal of Technical, Vocational & Engineering …"",""eprints.utm.my"",""http://eprints.utm.my/id/eprint/14810/1/JTVEE-3-2011-010.pdf"",""https://scholar.google.com/scholar?cites=254065630577653153&as_sdt=2005&sciodt=0,5&hl=en"",40,""2019-05-17"",""PDF"","""","""","""",,,,,6,0.75,3,2,8		"
"5,""UA Arrozaqi"",""Simulasi routing protokol pada jaringan sensor nirkabel dengan menggunakan metode cluster based"",2011,""EEPIS final project"",""repo.pens.ac.id"",""http://repo.pens.ac.id/id/eprint/1061"",""https://scholar.google.com/scholar?cites=7336726636807658297&as_sdt=2005&sciodt=0,5&hl=en"",41,""2019-05-17"","""","""","""","""",,,,,5,0.63,5,1,8		"
"7,""R Rodhin"",""Internet dalam konteks perpustakaan"",2011,""Pustakaloka"",""jurnal.iainponorogo.ac.id"",""http://jurnal.iainponorogo.ac.id/index.php/pustakaloka/article/view/631"",""https://scholar.google.com/scholar?cites=15763549202041154491&as_sdt=2005&sciodt=0,5&hl=en"",42,""2019-05-17"","""","""","""","""",,,,,7,0.88,7,1,8		"
