Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age	
"0,""T Hidayat"",""REKAYASA PERANGKAT LUNAK UNTUK PERBAIKAN KUALITAS CITRA RADIOGRAFI SINAR-X MENGGUNAKAN MATLAB 7.3. 0 (R2006b)"",2010,"""",""eprints.undip.ac.id"",""http://eprints.undip.ac.id/19220/"","""",25,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""MO Kadang"",""Rekayasa Perangkat Lunak Pengambilan Keputusan Penerimaan Dosen Yayasan Pendidikan Dipanegara Menggunakan Metode Analytical Hierarchy Process (AHP …"",2010,""AgroSainT"",""journals.ukitoraja.ac.id"",""http://journals.ukitoraja.ac.id/index.php/agro/article/view/364"","""",26,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"1,""FB HARTONO"",""Rekayasa sistem pendukung keputusan dengan metode promethee guna pemilihan produk unggulan sektor industri Kabupaten Pekalongan"",2010,"""",""etd.repository.ugm.ac.id"",""http://etd.repository.ugm.ac.id/index.php?mod=penelitian_detail&sub=PenelitianDetail&act=view&typ=html&buku_id=45552"",""https://scholar.google.com/scholar?cites=5321424867437515965&as_sdt=2005&sciodt=0,5&hl=en"",27,""2019-11-11"","""","""","""","""",,,,,1,0.11,1,1,9"	
"2,""SP Roger"",""Rekayasa Perangkat Lunak Edisi 7"",2010,""Andi. Yogyakarta"","""","""",""https://scholar.google.com/scholar?cites=9215275263657078379&as_sdt=2005&sciodt=0,5&hl=en"",28,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"2,""RS Pressman"",""Rekayasa Perangkat Lunak Edisi 7: Buku 1 Terjemahan A"",2010,""Nugroho dkk.(2010). Yogyakarta: Andi"","""","""",""https://scholar.google.com/scholar?cites=6457161539362839403&as_sdt=2005&sciodt=0,5&hl=en"",29,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"3,""N Adi"",""Rekayasa Perangkat Lunak Berbasis Objek dengan Metode USDP"",2010,""Andi. Yogyakarta"","""","""",""https://scholar.google.com/scholar?cites=5631719493446216620&as_sdt=2005&sciodt=0,5&hl=en"",30,""2019-11-11"",""CITATION"","""","""","""",,,,,3,0.33,3,1,9"	
"2,""J Simarmata"",""Rekayasa perangkat Lunak, Andi Offset"",2010,"""",""Yogyakarta"","""",""https://scholar.google.com/scholar?cites=11893110460759834175&as_sdt=2005&sciodt=0,5&hl=en"",31,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"2,""A Nugroho"",""Rekayasa Perangkat Lunak Berprientasi Obyek Dengan Metode Unified Software Development Process, Yogyakarta: Cv"",2010,""Andi Offset"","""","""",""https://scholar.google.com/scholar?cites=13903102701236775047&as_sdt=2005&sciodt=0,5&hl=en"",32,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"2,""A Nugroho"",""Rekayasa Perangkat Lunak Berbasis Web dan Android"",2010,"""",""CV Andi Offset (Peberbit ANDI)"","""",""https://scholar.google.com/scholar?cites=5485437216267308788&as_sdt=2005&sciodt=0,5&hl=en"",33,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"2,""A Nugroho"",""Rekayasa Perangkat Lunak Menggunakan UML dan Java, Edisi 1"",2010,"""",""Andi Publisher"","""",""https://scholar.google.com/scholar?cites=16620766524098117821&as_sdt=2005&sciodt=0,5&hl=en"",34,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,2,1,9"	
"131,""K Ilmiah"",""Skripsi"",2010,"""",""Thesis, atau Desertasi"","""",""https://scholar.google.com/scholar?cites=6015150305996136052&as_sdt=2005&sciodt=0,5&hl=en"",35,""2019-11-11"",""CITATION"","""","""","""",,,,,131,14.56,131,1,9"	
"1,""E Mustofa, R Sarno, A Rizky Januar"",""REKAYASA PERANGKAT LUNAK CUSTOMER RELATIONSHIP MANAGEMENT (CRM) MARKETING AUTOMATION DAN CUSTOMER SUPPORT DENGAN …"",2010,"""",""academia.edu"",""http://www.academia.edu/download/31298427/ITS-Undergraduate-14313-paperpdf.pdf"",""https://scholar.google.com/scholar?cites=13305055157017085407&as_sdt=2005&sciodt=0,5&hl=en"",36,""2019-11-11"",""PDF"","""","""","""",,,,,1,0.11,0,3,9"	
"0,""Y Afrizal"",""Mengapa Proyek Perangkat Lunak Gagal (Penerapan Manajemen Resiko dalam Proyek Perangkat Lunak)"",2010,""JUITA: Jurnal Informatika"",""search.unikom.ac.id"",""https://search.unikom.ac.id/index.php/jamika/article/view/688"","""",37,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
